sensor_controller-acc_x,sensor_controller-acc_y,sensor_controller-acc_z,sensor_controller-altitude,sensor_controller-altitude_gps,sensor_controller-gra_x,sensor_controller-gra_y,sensor_controller-gra_z,sensor_controller-heading,sensor_controller-latitude,sensor_controller-longitude,sensor_controller-pitch,sensor_controller-press,sensor_controller-roll,sensor_controller-temp
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
-0.02,0.0,-0.01,10.829478565139194,,0.15,1.65,-9.66,190.3125,,,0.875,1009.5846650695801,-170.25,17.442273476730865
